_date,total_clones,unique_clones
2021-05-20,6,6
2021-05-21,2,1
2021-05-25,5,4
2021-05-26,1,1
2021-06-02,2,2
2021-06-04,1,1
2021-06-07,3,3
2021-06-09,2,2
2021-06-11,1,1
2021-06-15,1,1
2021-06-16,1,1
2021-06-22,1,1
2021-06-29,1,1
2021-07-02,1,1
2021-07-06,1,1
2021-07-13,1,1
2021-07-14,1,1
2021-07-20,3,3
2021-07-21,2,2
2021-07-23,4,4
2021-07-27,1,1
2021-08-03,1,1
2021-08-09,1,1
2021-08-11,1,1
2021-08-17,1,1
2021-08-24,1,1
2021-08-28,4,4
2021-08-31,2,2
2021-09-02,5,4
2021-09-06,4,4
2021-09-07,1,1
2021-09-08,1,1
2021-09-14,2,2
2021-09-15,1,1
2021-09-16,2,1
2021-09-21,1,1
2021-09-22,1,1
2021-09-28,1,1
2021-10-05,1,1
2021-10-12,1,1
2021-10-19,1,1
2021-10-21,5,1
2021-10-23,55,2
2021-10-26,96,5
2021-10-27,2,1
2021-11-01,1,1
