_date,total_views,unique_views
2021-05-19,7,2
2021-05-20,27,2
2021-06-07,13,1
2021-06-09,3,1
2021-06-10,1,1
2021-06-11,1,1
2021-06-12,10,1
2021-06-14,5,1
2021-06-15,1,1
2021-06-17,4,2
2021-06-21,1,1
2021-06-22,4,1
2021-07-02,14,2
2021-07-03,2,1
2021-07-05,6,1
2021-07-09,4,1
2021-07-13,51,4
2021-07-14,5,1
2021-07-15,8,2
2021-07-16,7,2
2021-07-20,38,3
2021-07-21,25,2
2021-07-25,4,1
2021-07-29,1,1
2021-07-30,2,2
2021-08-03,22,1
2021-08-04,1,1
2021-08-05,2,1
2021-08-08,1,1
2021-08-11,9,5
2021-08-16,1,1
2021-08-18,5,2
2021-08-19,1,1
2021-08-20,9,1
2021-08-22,1,1
2021-08-23,8,3
2021-08-24,1,1
2021-08-25,1,1
2021-08-27,1,1
2021-08-28,7,1
2021-08-31,1,1
2021-09-01,2,2
2021-09-02,4,3
2021-09-03,1,1
2021-09-04,1,1
2021-09-07,9,2
2021-09-08,24,2
2021-09-11,6,1
2021-09-12,3,2
2021-09-14,50,11
2021-09-15,12,4
2021-09-19,1,1
2021-09-22,1,1
2021-09-24,6,2
2021-09-28,1,1
2021-10-05,74,1
2021-10-06,9,2
2021-10-07,4,2
2021-10-08,12,1
2021-10-11,3,1
2021-10-12,3,2
